Player,Country,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,Gold%,VS%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
Morttheus,BR,7,28.6%,2.7,4.6,3.7,5.3,8.9,416,53.9%,29.6%,23.5%,15.2%,767,1.25,0.45,0.34,0.13,-20,-3,176,14.3%,14.3%,0,-
Myrwn,ES,10,40%,2.5,1.3,2.8,5.6,7.9,365,44.7%,18%,19.7%,10.2%,469,0.88,0.37,0.15,0.11,-158,-7,-159,20%,0%,0,4
ON,CN,8,50%,2.9,0.5,3.8,10.3,1.2,254,71.8%,9.5%,13.4%,46%,246,3.79,1.92,0.51,0.59,119,4,39,50%,12.5%,0,2
Oner,KR,20,70%,4.3,4.4,3,8.3,7,394,68.6%,16.1%,20.5%,18.1%,481,1.59,0.29,0.39,0.24,-137,1,-26,25%,20%,0,1
Oscarinin,ES,5,20%,1.7,1.4,3.2,4,7.8,348,56.2%,21.5%,20.2%,10%,512,0.81,0.33,0.16,0.15,-131,0,-32,0%,20%,0,-
Peanut,KR,9,55.6%,4,2.1,3.2,10.7,6.2,355,75.8%,13.1%,18.7%,18.6%,379,1.71,0.34,0.46,0.29,-158,-8,-186,22.2%,11.1%,0,-
PerfecT,KR,16,75%,5.1,2.3,2,7.9,7.5,375,55.6%,20.7%,19.6%,12.8%,582,1.16,0.49,0.18,0.25,13,0,153,0%,6.3%,0,3
Peter,KR,16,75%,3.8,0.8,3.6,12.9,1,259,77.2%,7.2%,13.5%,39.5%,207,3.55,1.86,0.41,0.55,44,2,92,43.8%,12.5%,0,-
Poby,KR,5,20%,2.2,1.6,2,2.8,9.1,385,50.4%,21.8%,22.5%,11.5%,533,0.93,0.44,0.15,0.16,73,-3,195,20%,0%,0,2
Pun,VN,2,50%,2.2,3,3,3.5,8.3,384,39.4%,17.9%,20.2%,11.4%,390,1.02,0.4,0.17,0.17,510,19,772,0%,0%,0,1
Quad,KR,8,37.5%,2.8,3.3,2.9,4.8,8.6,402,57%,26.4%,22.2%,12.7%,756,1.01,0.49,0.18,0.16,260,3,302,12.5%,25%,0,-
Quid,KR,5,20%,3.4,4.6,2.8,4.8,8.6,397,70.1%,29.1%,23.1%,13.7%,758,1.01,0.33,0.27,0.16,-25,2,407,60%,20%,0,3
Razork,ES,5,20%,1.3,1.4,4.8,4.8,5.9,318,72.3%,14.3%,18.5%,17.6%,333,1.43,0.26,0.4,0.22,-134,-11,-516,20%,0%,0,-
Rest,TW,7,28.6%,2.2,1.9,2.9,4.4,7.8,365,54.3%,22.4%,20.5%,11.5%,516,0.99,0.4,0.11,0.12,74,3,-24,0%,14.3%,0,1
River,KR,5,20%,1.5,2.2,4.8,5,6.2,341,58.9%,15.8%,19.9%,17.5%,408,1.32,0.37,0.23,0.27,-86,-13,-471,40%,0%,0,-
Ruler,KR,13,61.5%,6,6.3,2.2,6.6,9.6,472,67.7%,28.2%,24.8%,14%,817,1.29,0.41,0.41,0.15,201,4,236,7.7%,7.7%,0,-
Shad0w,IT,6,66.7%,4.5,2.8,2.3,7.7,7.6,396,74.7%,16.7%,20.5%,20.4%,453,1.69,0.35,0.43,0.3,145,6,155,50%,16.7%,0,1
Shanks,CN,10,60%,5.5,4.3,2.2,7.7,8.2,408,76%,24.4%,21.8%,11.6%,634,1.07,0.4,0.23,0.16,286,4,150,30%,0%,0,2
SkewMond,FR,10,50%,3.6,3.1,2.4,5.6,6.7,365,73%,17.4%,20.1%,18.5%,464,1.6,0.34,0.38,0.26,-200,2,161,40%,20%,0,-
Supa,ES,10,40%,3.7,4.5,2.7,5.4,9.3,446,68.9%,30.4%,24%,11.7%,767,1.01,0.34,0.32,0.05,-112,-4,1,30%,0%,0,6
Taki,VN,6,33.3%,3.3,0.7,3,9.2,1,246,73.5%,9.4%,13.4%,44.1%,207,3.81,2.12,0.44,0.53,5,0,254,33.3%,0%,0,-
Tarzan,KR,10,60%,4.5,3.2,2.8,9.5,6.7,376,78.4%,20.3%,20%,18.4%,521,1.68,0.38,0.36,0.33,123,-0,180,40%,10%,0,-
Trymbi,PL,7,28.6%,2.6,1,4.7,11.4,1,241,78.9%,9.8%,13.6%,43.2%,253,3.55,1.71,0.46,0.36,-24,-1,-54,14.3%,0%,0,-
Upset,DE,5,20%,4.7,3.6,1.4,3,9.6,428,70.9%,32.7%,24.8%,14.2%,767,1.14,0.47,0.24,0.14,-489,3,186,20%,20%,0,-
Viper,KR,9,55.6%,8.1,6.9,1.6,5.7,9.4,467,73.1%,34.8%,24.6%,14.2%,993,1.28,0.51,0.37,0.14,68,1,-2,22.2%,0%,0,-
Woody,TW,5,20%,2,0.4,4.2,8,1,229,79.1%,9.2%,13.5%,43.8%,223,3.45,1.83,0.41,0.51,13,2,-92,20%,0%,0,-
Zeka,KR,9,55.6%,4,3.8,2.7,6.8,8.5,416,60.9%,20.8%,21.9%,13.4%,597,1.22,0.45,0.27,0.23,28,-8,-132,22.2%,33.3%,0,1
Zeus,KR,9,55.6%,3.1,3.6,3.9,8.3,7.6,400,67.6%,24.2%,21.1%,11.2%,685,1.02,0.36,0.16,0.21,125,7,417,22.2%,11.1%,0,3
deokdam,KR,16,75%,4.8,5.4,2.7,7.6,8.7,450,73.7%,29.5%,23.5%,13.1%,854,1.18,0.43,0.31,0.13,-125,-4,-162,18.8%,0%,0,3
jojopyun,CA,10,40%,3.2,3.3,2.9,5.9,9,410,62.6%,24.9%,22%,14.2%,643,1.22,0.42,0.29,0.1,222,6,-108,40%,10%,0,1

