Champion,Picks,Bans,PrioScore,Wins,Losses,Winrate,KDA,Avg BT,Avg RP,BP%,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
Hwei,3,3,5%,2,1,67%,3.5,8.3,3.33,-,30:13,9.0,811,415,9.3,-79,102
Nocturne,4,2,4%,3,1,75%,4.9,7.0,3.75,-,33:12,6.7,398,368,4,168,24
Lee,0,3,4%,,,,,6.3,-,-,,,,,,,
Naafiri,5,0,4%,3,2,60%,3.5,-,2.40,-,29:54,7.3,485,394,-2.2,26,-75
Smolder,3,2,3%,1,2,33%,2.8,7.0,4.00,-,34:54,9.5,946,450,15,423,-38
Ahri,1,2,3%,1,0,100%,6.5,7.5,3.00,-,29:25,8.8,765,460,15,692,609
Blitzcrank,1,2,3%,0,1,0%,1.4,6.5,3.00,-,38:07,1.0,191,211,-1,-69,-11
Zoe,1,2,3%,1,0,100%,19.0,6.5,3.00,-,29:19,8.2,943,491,7,909,870
Skarner,4,1,3%,0,4,0%,1.9,9.0,3.50,-,33:11,6.3,465,330,-1,150,61
Anivia,4,0,3%,2,2,50%,3.3,-,2.75,-,31:06,8.3,679,384,5,-228,-93
Tristana,0,2,3%,,,,,8.0,-,-,,,,,,,
Kled,1,1,3%,0,1,0%,1.0,10.0,1.00,-,38:23,9.4,396,434,-14,457,-218
Pyke,0,2,3%,,,,,8.5,-,-,,,,,,,
Zeri,1,1,3%,1,0,100%,21.0,7.0,1.00,-,27:00,9.5,981,573,-15,698,-1024
Ashe,4,0,2%,3,1,75%,3.7,-,3.00,-,32:20,8.3,703,423,7.8,-30,405
Syndra,3,1,2%,1,2,33%,4.1,8.0,4.00,-,33:50,8.0,631,374,-1.7,-185,-175
Sejuani,4,0,2%,0,4,0%,5.6,-,3.50,-,35:03,6.1,416,319,-6.2,-154,-177
Dr.,5,0,2%,5,0,100%,9.4,-,3.40,-,34:52,7.0,708,395,10,334,486
